model,horizon,seed,status,error,test_macro_wape,test_macro_mae,test_macro_rmse,test_macro_bias,test_macro_wape_p90,n_stores,train_time_seconds
linear_regression,7,42,ok,,10.7715557281671,79.07796732535687,98.63561850565398,-7.455812431371431,15.231503531435113,1100,2.6953060626983643
linear_regression,14,42,ok,,10.54431482977138,77.65641422108554,95.88020479399167,-6.949344382763998,15.005569287500759,1100,2.7263882160186768
linear_regression,1,123,ok,,11.119586405437119,80.90367510265199,101.6537808183637,3.4246120748561566,16.93673857045186,1100,2.612147331237793
linear_regression,7,123,ok,,10.7715557281671,79.07796732535687,98.63561850565398,-7.455812431371431,15.231503531435113,1100,2.647883176803589
linear_regression,14,123,ok,,10.54431482977138,77.65641422108554,95.88020479399167,-6.949344382763998,15.005569287500759,1100,2.4580602645874023
pycaret,1,0,ok,,8.35230064213265,60.728949151142174,76.91872527787955,-3.1351811293431995,11.299542625772018,1100,714.8313133716583
pycaret,7,0,ok,,7.89967710653949,57.214281998499885,72.90853496992321,-19.37360467377199,10.056927640657715,1100,739.8113350868225
pycaret,14,0,ok,,7.8104902878301505,56.80074530822696,71.76222333314435,-9.239019226267123,10.112212365518095,1100,934.1213672161102
pycaret,1,42,ok,,8.38924630028631,61.16144434905719,77.5479058591064,-3.4597318040916574,11.29738556250232,1100,696.7085328102112
pycaret,7,42,ok,,7.522902872875344,54.51761699083436,69.71986661644154,-14.8835382778327,9.607689066246792,1100,690.6236245632172
pycaret,14,42,ok,,7.993289595844216,58.12327021090776,73.57231140994504,-11.985585565837772,10.201567324627977,1100,720.6100792884827
pycaret,1,123,ok,,8.548386709487128,62.07475565169168,78.49664956428082,-6.01721227242501,11.41630738644545,1100,668.2895603179932
pycaret,7,123,ok,,7.90316496825041,57.28180023538041,72.43763763323322,-21.898764585169147,10.05313599292173,1100,688.1807129383087
pycaret,14,123,ok,,7.803003942696824,56.87117976080179,72.15677505631913,-8.593604203524508,10.125744177975877,1100,705.621120929718
pycaret_quick,1,0,ok,,6.885445180550507,49.87748674879951,63.77954254064349,-8.447777416402973,9.033650338184088,1100,564.3831112384796
pycaret_quick,7,0,ok,,7.655897263326065,55.012704371567686,69.89677745265463,-16.412175557949467,9.787527458435797,1100,599.4979438781738
pycaret_quick,14,0,ok,,7.8104902878301505,56.80074530822696,71.76222333314435,-9.239019226267123,10.112212365518095,1100,704.4368984699249
pycaret_quick,1,42,ok,,6.901437613992713,49.967717368796805,63.967517015368685,-8.527383602171444,9.056909293962107,1100,562.2351930141449
pycaret_quick,7,42,ok,,7.63262559435501,54.95164758868015,69.88162256247637,-16.463429104056775,9.687656727894865,1100,594.8992235660553
pycaret_quick,14,42,ok,,7.812438457959867,56.786929489982086,71.73870029735137,-9.274606217166037,10.181032911805293,1100,690.70268201828
pycaret_quick,1,123,ok,,6.8935804469354025,49.89945181403756,63.93735645208738,-8.464926431585974,8.987842360419547,1100,558.8968224525452
pycaret_quick,7,123,ok,,7.640481038679989,54.89031951041962,69.78306205785643,-16.14798610925314,9.72337544826274,1100,594.5679159164429
pycaret_quick,14,123,ok,,7.812008594837306,56.852802189489815,71.97879419816454,-9.10552470754047,10.196182290513056,1100,699.7111656665802
xgboost,1,0,ok,,7.358739164692774,53.16574451946573,68.15963124135907,-9.764736189243598,9.196741963068014,1100,79.17626166343689
xgboost,7,0,ok,,7.651003338302557,54.87760012781831,69.26421863376348,-18.566074220566524,9.810926093864316,1100,53.67651391029358
xgboost,14,0,ok,,7.555823922071227,55.27665832036116,70.54408632591772,-4.051947754038361,9.790123568530518,1100,53.32941007614136
xgboost,1,42,ok,,7.528952890695675,54.36775077658995,69.51221759764684,-11.10327475130816,9.335307525576493,1100,79.74904561042786
xgboost,7,42,ok,,8.071716536710344,57.764012152627785,72.35251087691299,-24.22767871179622,10.228624707841584,1100,53.29971981048584
xgboost,14,42,ok,,7.632781860967308,55.5773716042537,70.67831757783522,-7.330288474012763,10.012908645690615,1100,53.24894642829895
