artifact_prefix,split,fold,horizon,issue_start,issue_end,target_date,target_day_name,target_month,target_year,open_store_count,open_row_count,target_total_customers,mean_target_customers,total_abs_error,mae,rmse,mean_signed_error,daily_wape,promo_rate_target,schoolholiday_rate_target,stateholiday_rate_target,stateholiday_code,has_promo_heavy_target,has_schoolholiday_signal,has_stateholiday_signal,daily_wape_rank,daily_wape_p90_cutoff,is_top_decile_spike
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-31,Wednesday,12,2014,922,922,437324.0,474.32104121475055,57992.44694831662,62.89853248190523,93.06767831305693,4.649892937285412,13.260751056040057,0.0,1.0,0.0,0,0,1,0,2,9.51501736426562,1
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-27,Saturday,12,2014,922,922,644936.0,699.4967462039045,72503.9848731712,78.63772762816832,106.1111161368936,10.980291562327166,11.242043376888745,0.0,0.14316702819956617,0.0,0,0,1,0,3,9.51501736426562,1
flaml,val,1,14,2014-11-08,2014-12-19,2015-01-01,Thursday,1,2015,18,18,23049.0,1280.5,2312.046736757993,128.4470409309996,154.0740329792755,-61.17091043099598,10.031006710737964,0.0,1.0,1.0,a,0,1,1,4,9.51501736426562,1
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-21,Sunday,12,2014,27,27,40226.0,1489.851851851852,3876.8026297686474,143.585282584024,193.64780625478454,-36.430974250339695,9.637554392106217,0.0,0.0,0.0,0,0,0,0,5,9.51501736426562,1
flaml,val,1,14,2014-11-08,2014-12-19,2014-11-29,Saturday,11,2014,922,922,758510.0,822.6789587852495,63807.25772082786,69.20526867768749,103.72169462027631,11.033443943642697,8.412184113700262,0.0,0.0,0.0,0,0,0,0,6,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-05,Friday,12,2014,922,922,949824.0,1030.177874186551,79118.91526042277,85.81227251672752,121.04740340389299,71.25770470983983,8.32985008384951,1.0,0.0,0.0,0,1,0,0,7,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-22,Monday,12,2014,922,922,1113787.0,1208.0119305856833,89163.0280903279,96.70610421944458,130.22194855880318,10.206259013865537,8.005393139830856,0.0,1.0,0.0,0,0,1,0,8,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-11-23,Sunday,11,2014,16,16,35099.0,2193.6875,2785.68313399851,174.10519587490688,225.17209381700133,64.74454492985683,7.936645300431665,0.0,0.0,0.0,0,0,0,0,9,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-06,Saturday,12,2014,922,922,712997.0,773.3156182212581,54018.15613579396,58.588021839255916,93.15710589648005,7.651637636684045,7.576210858642317,0.0,0.0,0.0,0,0,0,0,10,9.51501736426562,0
flaml,val,1,14,2014-11-08,2014-12-19,2014-12-30,Tuesday,12,2014,922,922,819685.0,889.029284164859,62071.37526031716,67.32253282030061,99.88235333373312,17.383994717911087,7.572588892113087,0.0,1.0,0.0,0,0,1,0,11,9.51501736426562,0
