artifact_prefix,split,fold,horizon,target_date,target_day_name,daily_wape,total_abs_error,target_total_customers,mean_signed_error,promo_rate_target,schoolholiday_rate_target,stateholiday_code
autogluon,test,,14,2015-07-29,Wednesday,6.641709516670279,54304.2110185802,817624.0,-32.2286855668451,1.0,0.773224043715847,0
autogluon,test,,14,2015-07-30,Thursday,9.313012243210817,78926.00928888547,847481.0,-56.81230471877126,1.0,0.8378870673952641,0
autogluon,test,,14,2015-07-31,Friday,11.790139049911415,112714.55462688663,956007.0,97.24401248622195,1.0,0.8378870673952641,0
autogluon,val,1,1,2014-11-09,Sunday,5.287268450577972,1660.3609115350007,31403.0,-9.720024611888888,0.0,0.0,0
autogluon,val,1,1,2014-11-10,Monday,4.152217310917986,34405.56329347819,828607.0,-6.407108194966473,1.0,0.0,0
autogluon,val,1,1,2014-11-11,Tuesday,4.391724030455254,32919.83632540893,749588.0,-3.477822312605212,1.0,0.0,0
autogluon,val,1,1,2014-11-12,Wednesday,4.0051024268491515,28613.292808919974,714421.0,6.5419520707324015,1.0,0.0,0
autogluon,val,1,1,2014-11-13,Thursday,4.1261415166099376,30199.147237237798,731898.0,0.18325763602236564,1.0,0.0,0
autogluon,val,1,1,2014-11-14,Friday,3.6965237211167596,28098.053074189924,760121.0,4.877203002415781,1.0,0.0,0
autogluon,val,1,1,2014-11-15,Saturday,5.172016739985347,32260.8164568304,623757.0,-0.1083260572406917,0.0,0.0,0
autogluon,val,1,1,2014-11-16,Sunday,4.954916544293707,1737.1937404293735,35060.0,68.79977361885915,0.0,0.0,0
autogluon,val,1,1,2014-11-17,Monday,4.370089754932964,30622.311435254014,700725.0,8.707677825037463,0.0,0.0,0
autogluon,val,1,1,2014-11-18,Tuesday,5.2433838581167445,33572.33816674989,640280.0,-6.601456707345781,0.0,0.0,0
autogluon,val,1,1,2014-11-19,Wednesday,4.123545011072151,24115.109756501603,584815.0,0.7878978299779466,0.0,0.0,0
autogluon,val,1,1,2014-11-20,Thursday,4.76076644191706,31408.966169890125,659746.0,12.354574753800387,0.0,0.0,0
autogluon,val,1,1,2014-11-21,Friday,4.1509902545353015,28195.4767742234,679247.0,-4.988036564206684,0.0,0.0,0
autogluon,val,1,1,2014-11-22,Saturday,5.235153597430901,32525.904597766235,621298.0,9.182356863422305,0.0,0.0,0
autogluon,val,1,1,2014-11-23,Sunday,3.8515206566534412,1351.8452352787913,35099.0,21.75419909750422,0.0,0.0,0
autogluon,val,1,1,2014-11-24,Monday,4.087045571233865,35893.94641343716,878237.0,-6.38732557878344,1.0,0.0,0
autogluon,val,1,1,2014-11-25,Tuesday,3.996505157998425,31792.718077548012,795513.0,0.7266607328972277,1.0,0.0,0
autogluon,val,1,1,2014-11-26,Wednesday,4.0471089038078265,30820.515030414273,761544.0,8.300252121019732,1.0,0.0,0
autogluon,val,1,1,2014-11-27,Thursday,4.069167208136988,32279.80824536493,793278.0,-5.648374381895621,1.0,0.0,0
autogluon,val,1,1,2014-11-28,Friday,4.701149993017002,42003.411854108934,893471.0,6.091714804368624,1.0,0.0,0
autogluon,val,1,1,2014-11-29,Saturday,6.212397531782913,47121.65651832657,758510.0,2.3378713021674273,0.0,0.0,0
autogluon,val,1,1,2014-11-30,Sunday,4.27852420725467,1651.7670554527378,38606.0,-2.5039408712752067,0.0,0.0,0
autogluon,val,1,1,2014-12-01,Monday,4.21300991529092,40116.364673598444,952202.0,0.6823900571644208,1.0,0.0,0
autogluon,val,1,1,2014-12-02,Tuesday,4.262395817111727,36414.627816623426,854323.0,-1.363072482707573,1.0,0.0,0
autogluon,val,1,1,2014-12-03,Wednesday,4.069640655693816,32631.721758769396,801833.0,-1.6822523221628731,1.0,0.0,0
autogluon,val,1,1,2014-12-04,Thursday,3.7603083813908764,31451.933760545755,836419.0,-4.1060698015963855,1.0,0.0,0
autogluon,val,1,1,2014-12-05,Friday,5.104909910652643,48487.659509757366,949824.0,23.28903178777416,1.0,0.0,0
autogluon,val,1,1,2014-12-06,Saturday,6.180995393621312,44070.31172665815,712997.0,2.983681668346425,0.0,0.0,0
autogluon,val,1,1,2014-12-07,Sunday,4.952922027720741,1715.196898199693,34630.0,-51.580577345643626,0.0,0.0,0
autogluon,val,1,1,2014-12-08,Monday,4.5018528080583975,33615.6950659967,746708.0,4.528081423366426,0.0,0.0,0
autogluon,val,1,1,2014-12-09,Tuesday,4.275796931443863,30689.61799137696,717752.0,-3.312307551075802,0.0,0.0,0
autogluon,val,1,1,2014-12-10,Wednesday,4.231141208025758,27963.400686781835,660895.0,3.615603012029111,0.0,0.0,0
autogluon,val,1,1,2014-12-11,Thursday,4.916263775285274,33723.30801712035,685954.0,0.5301891184019969,0.0,0.0,0
autogluon,val,1,1,2014-12-12,Friday,6.098516764667634,42915.0795174632,703697.0,-1.0344391742599224,0.0,0.0,0
autogluon,val,1,1,2014-12-13,Saturday,6.092855532807024,44041.5969333423,722840.0,16.58955274000035,0.0,0.0,0
autogluon,val,1,1,2014-12-14,Sunday,3.800834129668363,1392.2075333562248,36629.0,-17.193798496416527,0.0,0.0,0
autogluon,val,1,1,2014-12-15,Monday,4.689302118650873,48774.08783838434,1040114.0,-1.467831596018558,1.0,0.0,0
autogluon,val,1,1,2014-12-16,Tuesday,4.327305879810013,41901.605745611945,968307.0,7.495512104000544,1.0,0.0,0
autogluon,val,1,1,2014-12-17,Wednesday,4.07279946858439,35796.404721313804,878914.0,-1.3756538973005383,1.0,0.0,0
autogluon,val,1,1,2014-12-18,Thursday,3.4310844219231575,32572.245120954674,949328.0,9.973467290610337,1.0,0.0,0
autogluon,val,1,1,2014-12-19,Friday,4.155298124450515,38154.15514361085,918205.0,-0.3800033159735598,1.0,0.0,0
autogluon,val,1,1,2014-12-20,Saturday,5.51069158706242,44426.09343657982,806180.0,-0.5952767524708441,0.0,0.0,0
autogluon,val,1,7,2014-11-15,Saturday,5.5833311339375395,34826.41878111478,623757.0,9.996535073739823,0.0,0.0,0
autogluon,val,1,7,2014-11-16,Sunday,6.377615569234732,2235.992018573697,35060.0,22.94963537412881,0.0,0.0,0
autogluon,val,1,7,2014-11-17,Monday,4.2388621513988864,29702.766810389847,700725.0,1.766009829747153,0.0,0.0,0
autogluon,val,1,7,2014-11-18,Tuesday,5.090356349856939,32592.533636864006,640280.0,-1.797317189806433,0.0,0.0,0
autogluon,val,1,7,2014-11-19,Wednesday,4.298997945631985,25141.184835747692,584815.0,4.543973085603143,0.0,0.0,0
autogluon,val,1,7,2014-11-20,Thursday,5.1214470994175025,33788.542380522995,659746.0,9.597290158068967,0.0,0.0,0
